game_pk,weather_source,weather_hour_utc,temp_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_direction_deg,precip_mm,wind_out_to_center_ms,wind_left_to_right_ms,roof_category
823259,open-meteo-forecast,2026-08-26T01:00,26.6,53,1005.7,2.79,255,0.0,0.722,2.695,open
823427,open-meteo-forecast,2026-08-17T22:00,28.7,44,1011.1,5.47,342,0.0,-4.874,2.483,open
823423,open-meteo-forecast,2026-08-18T22:00,27.7,46,1015.2,1.08,124,0.0,0.456,-0.979,open
823424,open-meteo-forecast,2026-08-19T22:00,26.0,61,1013.7,2.33,190,0.0,2.33,0.041,open
823420,open-meteo-forecast,2026-08-21T22:00,30.8,39,1014.8,3.58,216,0.0,3.19,1.625,open
823422,open-meteo-forecast,2026-08-22T22:00,35.7,35,1012.8,2.4,253,0.0,1.052,2.157,open
823421,open-meteo-forecast,2026-08-23T17:00,18.7,90,1012.9,4.39,330,0.6,-3.412,2.763,open
823745,open-meteo-forecast,2026-08-23T23:00,16.4,52,994.0,4.94,328,0.0,,,open
823019,open-meteo-forecast,2026-08-11T23:00,37.1,36,994.9,5.02,211,0.0,4.303,-2.585,open
823017,open-meteo-forecast,2026-08-12T18:00,39.5,31,992.5,5.99,242,0.0,5.99,0.0,open
823016,open-meteo-forecast,2026-08-25T23:00,25.8,26,995.6,2.96,102,0.0,-2.267,-1.903,open
824725,open-meteo-forecast,2026-08-17T23:00,22.6,72,1012.5,3.14,9,0.3,-2.54,1.846,open
824723,open-meteo-forecast,2026-08-18T23:00,22.9,55,1017.1,3.0,120,0.0,-0.776,-2.898,open
824722,open-meteo-forecast,2026-08-19T20:00,31.0,30,1013.6,4.57,209,0.0,4.393,-1.26,open
824721,open-meteo-forecast,2026-08-21T23:00,27.1,41,1016.6,3.0,270,0.0,2.121,2.121,open
824718,open-meteo-forecast,2026-08-22T23:00,24.2,82,1008.4,3.22,263,0.3,2.537,1.982,open
824720,open-meteo-forecast,2026-08-23T19:00,18.0,96,1010.0,2.42,300,0.1,0.626,2.338,open
823346,open-meteo-forecast,2026-08-14T22:00,26.1,50,993.4,3.55,338,0.0,2.638,2.375,open
823347,open-meteo-forecast,2026-08-15T23:00,24.8,55,994.9,1.71,69,0.0,-1.166,1.251,open
823344,open-meteo-forecast,2026-08-16T17:00,29.8,62,988.7,3.64,217,0.0,0.695,-3.573,open
823343,open-meteo-forecast,2026-08-17T23:00,21.5,63,990.7,3.27,337,0.0,2.468,2.145,open
823341,open-meteo-forecast,2026-08-18T22:00,25.7,46,989.1,1.1,275,0.0,1.027,-0.394,open
823342,open-meteo-forecast,2026-08-19T16:00,25.7,51,988.6,1.7,225,0.0,0.553,-1.607,open
823749,open-meteo-forecast,2026-08-18T23:00,24.6,65,989.6,2.58,234,0.0,0.668,-2.492,retractable
823748,open-meteo-forecast,2026-08-19T23:00,25.3,59,993.9,3.22,263,0.0,2.237,-2.316,retractable
823747,open-meteo-forecast,2026-08-20T18:00,19.8,86,990.3,4.87,161,0.0,-4.13,-2.581,retractable
823746,open-meteo-forecast,2026-08-21T20:00,32.4,53,987.2,4.95,256,0.0,2.979,-3.953,retractable
823743,open-meteo-forecast,2026-08-22T18:00,20.7,54,995.6,5.47,31,0.0,0.761,5.417,retractable
823591,open-meteo-forecast,2026-08-14T23:00,29.0,25,1014.7,6.1,342,0.0,-5.229,3.142,open
823588,open-meteo-forecast,2026-08-15T20:00,28.1,25,1019.5,2.16,146,0.0,1.473,-1.58,open
823590,open-meteo-forecast,2026-08-16T17:00,25.6,55,1016.7,5.6,178,0.0,5.409,-1.449,open
823589,open-meteo-forecast,2026-08-17T23:00,29.2,39,1011.9,5.82,355,0.0,-5.535,1.798,open
823586,open-meteo-forecast,2026-08-18T23:00,25.0,55,1016.4,3.96,164,0.0,3.463,-1.92,open
823587,open-meteo-forecast,2026-08-19T17:00,28.2,48,1015.6,4.7,179,0.0,4.56,-1.137,open
823585,open-meteo-forecast,2026-08-25T23:00,22.3,42,1019.7,4.18,159,0.0,3.465,-2.337,open
822697,open-meteo-forecast,2026-08-11T22:00,29.4,59,1011.2,2.48,313,0.0,-0.642,2.395,open
822698,open-meteo-forecast,2026-08-12T22:00,32.1,45,1009.7,1.71,339,0.0,-1.122,1.291,open
822696,open-meteo-forecast,2026-08-13T20:00,32.8,40,1009.1,3.38,326,0.0,-1.587,2.984,open
