audit_id,event_id,home_team,away_team,commence_time,snapshot_role,requested_snapshot,returned_snapshot,status,quote_count,odds_credits_used,discovery_credits_used,credits_remaining,error
5f0e3c52ba8477cb4e8cb1fcabae516a|close|2020-07-27T22:20:00Z|us,5f0e3c52ba8477cb4e8cb1fcabae516a,Cincinnati Reds,Chicago Cubs,2020-07-27T22:40:00Z,close,2020-07-27T22:20:00Z,2020-07-27T22:15:00Z,offered,21,30,0,4998634,
da90e6aa19433af6119c018638a14ec6|close|2020-07-27T22:45:00Z|us,da90e6aa19433af6119c018638a14ec6,Philadelphia Phillies,New York Yankees,2020-07-27T23:05:00Z,close,2020-07-27T22:45:00Z,,failed,0,0,0,,<HTTPError 404: 'Not Found'>
8dc96555bbfa4ba748acb3fc9a4d48a6|close|2020-07-27T22:45:00Z|us,8dc96555bbfa4ba748acb3fc9a4d48a6,Pittsburgh Pirates,Milwaukee Brewers,2020-07-27T23:05:00Z,close,2020-07-27T22:45:00Z,2020-07-27T22:45:00Z,offered,22,30,0,4998604,
23ce2f25e7aadb8c26779ce5c10798e3|close|2020-07-27T22:50:00Z|us,23ce2f25e7aadb8c26779ce5c10798e3,Detroit Tigers,Kansas City Royals,2020-07-27T23:10:00Z,close,2020-07-27T22:50:00Z,2020-07-27T22:45:00Z,offered,22,30,0,4998574,
e34cc84fd63c2a104e39411e5c6bf4aa|close|2020-07-27T22:50:00Z|us,e34cc84fd63c2a104e39411e5c6bf4aa,Miami Marlins,Baltimore Orioles,2020-07-27T23:10:00Z,close,2020-07-27T22:50:00Z,,failed,0,0,0,,<HTTPError 404: 'Not Found'>
8a2306bd6f3eee24b8bddae1a78637fe|close|2020-07-27T22:50:00Z|us,8a2306bd6f3eee24b8bddae1a78637fe,Houston Astros,Seattle Mariners,2020-07-27T23:10:00Z,close,2020-07-27T22:50:00Z,2020-07-27T22:45:00Z,offered,22,30,0,4998544,
984fc291ed7fec4a4e5ee26ab109b8da|close|2020-07-27T22:50:00Z|us,984fc291ed7fec4a4e5ee26ab109b8da,Cleveland Indians,Chicago White Sox,2020-07-27T23:10:00Z,close,2020-07-27T22:50:00Z,2020-07-27T22:45:00Z,offered,5,30,0,4998514,
ee28fcf0c503ddabe958e8c3a09f8463|close|2020-07-28T21:45:00Z|us,ee28fcf0c503ddabe958e8c3a09f8463,Washington Nationals,Toronto Blue Jays,2020-07-28T22:05:00Z,close,2020-07-28T21:45:00Z,2020-07-28T21:45:00Z,offered,22,30,1,4998484,
a60fae0530606da579cfcd03afe7c0d2|close|2020-07-28T22:20:00Z|us,a60fae0530606da579cfcd03afe7c0d2,Tampa Bay Rays,Atlanta Braves,2020-07-28T22:40:00Z,close,2020-07-28T22:20:00Z,2020-07-28T22:15:00Z,offered,21,30,0,4998454,
a33752820bd762aa812967b68210134d|close|2020-07-28T22:20:00Z|us,a33752820bd762aa812967b68210134d,Cincinnati Reds,Chicago Cubs,2020-07-28T22:40:00Z,close,2020-07-28T22:20:00Z,2020-07-28T22:15:00Z,offered,22,30,0,4998424,
7417c665c0207740286b363ab1b2436d|close|2020-07-28T22:45:00Z|us,7417c665c0207740286b363ab1b2436d,Pittsburgh Pirates,Milwaukee Brewers,2020-07-28T23:05:00Z,close,2020-07-28T22:45:00Z,2020-07-28T22:45:00Z,offered,21,30,0,4998394,
19f091b888220cf75693231f5245281a|close|2020-07-28T23:50:00Z|us,19f091b888220cf75693231f5245281a,Minnesota Twins,St. Louis Cardinals,2020-07-29T00:10:00Z,close,2020-07-28T23:50:00Z,2020-07-28T23:45:00Z,offered,19,30,0,4998364,
65ebf5692e7b6122334fa2dbd0d4deca|close|2020-07-29T00:45:00Z|us,65ebf5692e7b6122334fa2dbd0d4deca,Texas Rangers,Arizona Diamondbacks,2020-07-29T01:05:00Z,close,2020-07-29T00:45:00Z,2020-07-29T00:45:00Z,offered,18,30,0,4998334,
4c46b6d66d84e88e63f213b3d0a2794e|close|2020-07-29T00:50:00Z|us,4c46b6d66d84e88e63f213b3d0a2794e,Houston Astros,Los Angeles Dodgers,2020-07-29T01:10:00Z,close,2020-07-29T00:50:00Z,2020-07-29T00:45:00Z,offered,19,30,0,4998304,
85f810e9ccc58d24c55cef05412270e8|close|2020-07-29T01:20:00Z|us,85f810e9ccc58d24c55cef05412270e8,Oakland Athletics,Colorado Rockies,2020-07-29T01:40:00Z,close,2020-07-29T01:20:00Z,2020-07-29T01:15:00Z,offered,22,30,0,4998274,
8b362fa48057b6a3345ea0c5b6d02484|close|2020-07-29T01:20:00Z|us,8b362fa48057b6a3345ea0c5b6d02484,Los Angeles Angels,Seattle Mariners,2020-07-29T01:40:00Z,close,2020-07-29T01:20:00Z,2020-07-29T01:15:00Z,offered,22,30,0,4998244,
4aa26830745044f7d3f5c1fa2370e15e|close|2020-07-29T19:20:00Z|us,4aa26830745044f7d3f5c1fa2370e15e,Oakland Athletics,Colorado Rockies,2020-07-29T19:40:00Z,close,2020-07-29T19:20:00Z,2020-07-29T19:15:00Z,offered,23,30,1,4998214,
12b8b4ca902ef2b965f597d317499084|close|2020-07-29T19:45:00Z|us,12b8b4ca902ef2b965f597d317499084,Texas Rangers,Arizona Diamondbacks,2020-07-29T20:05:00Z,close,2020-07-29T19:45:00Z,2020-07-29T19:45:00Z,offered,20,30,0,4998184,
40fa6398cf8798f3b30d6614ebd2b61d|close|2020-07-29T21:45:00Z|us,40fa6398cf8798f3b30d6614ebd2b61d,Toronto Blue Jays,Washington Nationals,2020-07-29T22:05:00Z,close,2020-07-29T21:45:00Z,2020-07-29T21:45:00Z,offered,23,30,0,4998154,
18ade919e2356f6c6d29713e287d709a|close|2020-07-29T21:50:00Z|us,18ade919e2356f6c6d29713e287d709a,Cleveland Indians,Chicago White Sox,2020-07-29T22:10:00Z,close,2020-07-29T21:50:00Z,2020-07-29T21:45:00Z,offered,23,30,0,4998124,
ba3a3bee48235ca1ccda0ca1a5cb3f05|close|2020-07-29T22:20:00Z|us,ba3a3bee48235ca1ccda0ca1a5cb3f05,Cincinnati Reds,Chicago Cubs,2020-07-29T22:40:00Z,close,2020-07-29T22:20:00Z,2020-07-29T22:15:00Z,offered,22,30,0,4998094,
ad74aa3587132be04a9b5f5840637f9b|close|2020-07-29T22:45:00Z|us,ad74aa3587132be04a9b5f5840637f9b,Pittsburgh Pirates,Milwaukee Brewers,2020-07-29T23:05:00Z,close,2020-07-29T22:45:00Z,2020-07-29T22:45:00Z,offered,23,30,0,4998064,
4afd1b7d9fcaa913c75c02db4c31aa2b|close|2020-07-29T22:50:00Z|us,4afd1b7d9fcaa913c75c02db4c31aa2b,Atlanta Braves,Tampa Bay Rays,2020-07-29T23:10:00Z,close,2020-07-29T22:50:00Z,2020-07-29T22:45:00Z,offered,23,30,0,4998034,
1afbeb0808a143836970de659b50cccd|close|2020-07-29T22:50:00Z|us,1afbeb0808a143836970de659b50cccd,Detroit Tigers,Kansas City Royals,2020-07-29T23:10:00Z,close,2020-07-29T22:50:00Z,2020-07-29T22:45:00Z,offered,22,30,0,4998004,
c75a8d75d8a25d70b22f4b949b0cbb1b|close|2020-07-29T22:50:00Z|us,c75a8d75d8a25d70b22f4b949b0cbb1b,New York Mets,Boston Red Sox,2020-07-29T23:10:00Z,close,2020-07-29T22:50:00Z,2020-07-29T22:45:00Z,offered,22,30,0,4997974,
ba21201bd1fb19400e71fdda3b632d18|close|2020-07-30T01:25:00Z|us,ba21201bd1fb19400e71fdda3b632d18,San Francisco Giants,San Diego Padres,2020-07-30T01:45:00Z,close,2020-07-30T01:25:00Z,2020-07-30T01:25:00Z,offered,25,30,0,4997944,
379e48f9eefd78dc7e656d3d8de7334d|close|2020-07-30T01:50:00Z|us,379e48f9eefd78dc7e656d3d8de7334d,Los Angeles Angels,Seattle Mariners,2020-07-30T02:10:00Z,close,2020-07-30T01:50:00Z,2020-07-30T01:45:00Z,offered,24,30,0,4997914,
d144a6d6d88ebf4dbd169ec77fc6e8a6|close|2020-07-30T21:50:00Z|us,d144a6d6d88ebf4dbd169ec77fc6e8a6,Cincinnati Reds,Chicago Cubs,2020-07-30T22:10:00Z,close,2020-07-30T21:50:00Z,2020-07-30T21:45:00Z,offered,25,30,1,4997884,
920151717cd7006a39ee8fbc61c18dcd|close|2020-07-30T22:45:00Z|us,920151717cd7006a39ee8fbc61c18dcd,Baltimore Orioles,New York Yankees,2020-07-30T23:05:00Z,close,2020-07-30T22:45:00Z,2020-07-30T22:45:00Z,offered,25,30,0,4997854,
9fa9f422dc45a452b8c87124a5b9f963|close|2020-07-30T22:47:00Z|us,9fa9f422dc45a452b8c87124a5b9f963,Minnesota Twins,Cleveland Indians,2020-07-30T23:07:00Z,close,2020-07-30T22:47:00Z,2020-07-30T22:45:00Z,offered,25,30,0,4997824,
748f9531bf9cfb2b29544eee0f8b3bcb|close|2020-07-30T22:47:00Z|us,748f9531bf9cfb2b29544eee0f8b3bcb,New York Mets,Boston Red Sox,2020-07-30T23:07:00Z,close,2020-07-30T22:47:00Z,2020-07-30T22:45:00Z,offered,25,30,0,4997794,
528dfc14cb736a024afc1919ef8a59be|close|2020-07-30T22:50:00Z|us,528dfc14cb736a024afc1919ef8a59be,Detroit Tigers,Kansas City Royals,2020-07-30T23:10:00Z,close,2020-07-30T22:50:00Z,2020-07-30T22:45:00Z,offered,25,30,0,4997764,
761ccf88a1d0047b031c38644bed419e|close|2020-07-30T22:50:00Z|us,761ccf88a1d0047b031c38644bed419e,Atlanta Braves,Tampa Bay Rays,2020-07-30T23:10:00Z,close,2020-07-30T22:50:00Z,2020-07-30T22:45:00Z,offered,25,30,0,4997734,
c4c91129ea2f8ce3c655b0bd3375f436|close|2020-07-31T01:20:00Z|us,c4c91129ea2f8ce3c655b0bd3375f436,Arizona Diamondbacks,Los Angeles Dodgers,2020-07-31T01:40:00Z,close,2020-07-31T01:20:00Z,2020-07-31T01:15:00Z,offered,22,30,0,4997704,
e4439862f58ce98bc8db865a818a45a8|close|2020-07-31T01:20:00Z|us,e4439862f58ce98bc8db865a818a45a8,Los Angeles Angels,Seattle Mariners,2020-07-31T01:40:00Z,close,2020-07-31T01:20:00Z,2020-07-31T01:15:00Z,offered,25,30,0,4997674,
86a0f0d1fa5d88e0d7732e5ee1f3f984|close|2020-07-31T17:50:00Z|us,86a0f0d1fa5d88e0d7732e5ee1f3f984,Milwaukee Brewers,St. Louis Cardinals,2020-07-31T18:10:00Z,close,2020-07-31T17:50:00Z,,failed,0,0,1,,<HTTPError 404: 'Not Found'>
819d774a99258b066e8bc0923961e917|close|2020-07-31T22:45:00Z|us,819d774a99258b066e8bc0923961e917,New York Yankees,Boston Red Sox,2020-07-31T23:05:00Z,close,2020-07-31T22:45:00Z,2020-07-31T22:45:00Z,offered,25,30,0,4997644,
