game_pk,official_date,season,home_elo,away_elo,elo_diff,home_off,home_def,away_off,away_def,home_recent_off,home_recent_def,away_recent_off,away_recent_def,home_rest,away_rest,rest_diff,home_games_played,away_games_played,home_sp_rate,away_sp_rate,home_sp_recent,away_sp_recent,home_sp_starts,away_sp_starts,home_sp_rest,away_sp_rest,park_factor,elevation_km,temp_c,air_density_index,wind_out_to_center_ms,wind_left_to_right_ms,precip_mm,roof_retractable,roof_dome,expected_home_runs_prior,expected_away_runs_prior
634591,2021-04-05,2021,1504.6751905411702,1498.665485540198,30.00970500097219,4.545454545454546,4.363636363636363,4.488372093023256,4.534883720930233,5.0,3.0,4.333333333333333,5.0,1,2,-1,4,3,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,15.1,1.00705,-0.091,2.598,0.0,0,0,4.580690627202255,4.352360817477096
634600,2021-04-05,2021,1483.5433830183997,1505.087602290056,2.4557807283435977,4.295454545454546,4.886363636363637,4.681818181818182,4.568181818181818,2.25,8.75,6.5,5.25,1,1,0,4,4,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,20.0,1.0,0.0,0.0,0.0,0,0,4.3605371900826455,5.083792470156107
634601,2021-04-05,2021,1490.160300676778,1500.3972631596973,13.763037517080647,4.3023255813953485,4.604651162790698,4.511627906976744,4.558139534883721,1.6666666666666667,6.0,4.666666666666667,5.333333333333333,1,2,-1,3,3,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,10.1,0.98925,-1.778,5.163,0.0,0,0,4.3579111832221615,4.616549486208762
634606,2021-04-05,2021,1505.5206570321468,1500.0,29.5206570321468,4.395348837209302,4.255813953488372,4.5,4.5,3.0,1.0,4.5,4.5,1,5,-4,3,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,16.0,1.00645,-0.941,3.079,0.0,0,0,4.395348837209302,4.255813953488372
634612,2021-04-05,2021,1496.768213097005,1501.7736453563077,18.99456774069722,4.674418604651163,4.837209302325581,4.395348837209302,4.372093023255814,7.0,9.333333333333334,3.0,2.6666666666666665,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,25.3,1.06064,5.314,-3.193,0.0,1,0,4.54155399314945,4.724716062736614
634616,2021-04-05,2021,1500.3943995404622,1503.231786902995,21.16261263746719,4.488372093023256,4.441860465116279,4.837209302325581,4.674418604651163,4.333333333333333,3.6666666666666665,9.333333333333334,7.0,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,11.7,1.01272,-5.578,-2.842,0.0,0,0,4.662340003605554,4.774713058109488
634529,2021-04-06,2021,1503.1694520736519,1500.1712240077163,26.998228065935564,4.488888888888889,4.333333333333333,4.454545454545454,4.4772727272727275,4.4,3.0,4.0,4.25,1,1,0,5,4,4.7272727272727275,4.5,7.0,4.5,1,0,5,5,1.0,0.0,15.4,1.0055,-0.283,2.303,0.0,0,0,4.4662177328844,4.289562289562289
634530,2021-04-06,2021,1505.4839690002852,1496.0119106152551,33.472058385030095,4.818181818181818,4.568181818181818,4.363636363636363,4.4772727272727275,8.0,5.25,3.0,4.25,1,1,0,4,4,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,22.6,1.04877,0.952,-3.555,0.0,0,0,4.79384756657484,4.429752066115702
634559,2021-04-06,2021,1503.9771810824834,1492.788895255371,35.188285827112395,4.4772727272727275,4.363636363636363,4.340909090909091,4.545454545454546,4.25,3.0,2.75,5.0,1,1,0,4,4,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,24.2,1.06338,6.249,-0.878,0.0,0,0,4.522497704315887,4.209366391184573
634586,2021-04-06,2021,1503.828370739903,1515.1103138306053,12.71805690929773,4.688888888888889,4.622222222222222,4.911111111111111,4.355555555555555,6.2,5.6,8.2,3.2,1,1,0,5,5,4.363636363636363,4.181818181818182,3.0,1.0,1,1,5,5,1.0,0.0,21.6,1.03138,3.674,0.347,0.0,0,0,4.53838134430727,5.044499314128944
634590,2021-04-06,2021,1494.5831406674938,1495.9744231689815,22.608717498512306,4.454545454545454,4.545454545454546,4.454545454545454,4.704545454545454,4.0,5.0,4.0,6.75,1,1,0,4,4,4.5,4.090909090909091,4.5,0.0,0,1,5,5,1.0,0.0,8.3,0.98026,-1.485,-1.485,0.0,0,0,4.657024793388429,4.499540863177227
634594,2021-04-06,2021,1496.6145196195296,1499.5156772387243,21.09884238080531,4.4772727272727275,4.5,4.590909090909091,4.7272727272727275,4.25,4.5,5.5,7.0,1,1,0,4,4,4.181818181818182,4.5,1.0,4.5,1,0,5,5,1.0,0.0,23.6,1.03137,-5.73,3.047,0.0,1,0,4.703397612488522,4.590909090909091
634599,2021-04-06,2021,1502.237029429554,1505.8290245373603,20.40800489219373,4.431818181818182,4.295454545454546,4.5,4.363636363636363,3.75,2.25,4.5,3.0,1,1,0,4,4,4.363636363636363,4.5,3.0,4.5,1,0,5,5,1.0,0.0,17.8,1.01368,1.378,2.955,0.0,0,0,4.297520661157025,4.295454545454546
634603,2021-04-06,2021,1494.7568365866068,1510.059347901585,8.69748868502188,4.4772727272727275,4.7272727272727275,4.7727272727272725,4.409090909090909,4.25,7.0,7.5,3.5,1,1,0,4,4,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,20.6,1.04513,-3.23,-2.808,0.0,0,0,4.38682277318641,5.013774104683196
634608,2021-04-06,2021,1507.5316373887074,1497.9890196434394,33.54261774526799,4.409090909090909,4.2272727272727275,4.463414634146342,4.512195121951219,3.5,1.5,3.0,5.0,1,1,0,4,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,16.2,1.00826,-0.7,2.033,0.0,0,0,4.4210396649421035,4.192904656319291
634609,2021-04-06,2021,1497.131769130444,1501.7206777404501,19.41109138999377,4.431818181818182,4.5227272727272725,4.622222222222222,4.533333333333333,3.75,4.75,5.6,4.8,1,1,0,4,5,4.5,4.454545454545454,4.5,4.0,0,1,5,5,1.0,0.0,11.4,0.9882,-1.463,2.434,0.0,1,0,4.4646464646464645,4.645566778900111
634619,2021-04-06,2021,1494.912397709944,1495.3248094588298,23.587588251114084,4.568181818181818,4.681818181818182,4.363636363636363,4.545454545454546,5.25,6.5,3.0,5.0,2,2,0,4,4,4.545454545454546,4.5,5.0,4.5,1,0,5,5,1.0,0.0,2.3,1.16252,-4.395,-1.178,1.7,0,0,4.614325068870524,4.539944903581267
634624,2021-04-06,2021,1500.0,1494.4793429678532,29.5206570321468,4.5,4.5,4.255813953488372,4.395348837209302,4.5,4.5,1.0,3.0,5,2,3,0,3,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0,21.4,1.02586,-0.047,-0.088,0.0,0,0,4.395348837209302,4.255813953488372
