screened_at,game_pk,market,point,side,disagreement,gate,detail
2026-08-06T00:59:04Z,823430,totals,8.5,home,0.053425,outside_lock_window,1266 min
2026-08-06T00:59:04Z,823430,totals,9.0,home,0.064695,too_few_books,1
2026-08-06T00:59:04Z,824729,h2h,nan,away,-0.067213,outside_lock_window,1331 min
2026-08-06T00:59:04Z,824729,spreads,-1.5,home,0.006836,below_edge_rule,0.0068 < 0.03
2026-08-06T00:59:04Z,824729,totals,9.0,away,-0.018012,below_edge_rule,0.0180 < 0.03
2026-08-06T00:59:04Z,824885,h2h,nan,away,-0.022992,below_edge_rule,0.0230 < 0.03
2026-08-06T00:59:04Z,824885,spreads,-1.5,home,0.054047,outside_lock_window,1336 min
2026-08-06T00:59:04Z,824885,totals,8.5,home,0.011328,below_edge_rule,0.0113 < 0.03
2026-08-06T00:59:04Z,824885,totals,9.0,home,0.004724,below_edge_rule,0.0047 < 0.03
2026-08-06T00:59:04Z,824080,h2h,nan,away,-0.022659,below_edge_rule,0.0227 < 0.03
2026-08-06T00:59:04Z,824080,spreads,-1.5,home,0.046552,outside_lock_window,1361 min
2026-08-06T00:59:04Z,824080,spreads,1.5,away,-0.042031,outside_lock_window,1361 min
2026-08-06T00:59:04Z,824080,totals,8.5,home,0.016892,below_edge_rule,0.0169 < 0.03
2026-08-06T00:59:04Z,824080,totals,9.0,home,0.017912,below_edge_rule,0.0179 < 0.03
2026-08-06T00:59:04Z,825053,h2h,nan,away,-0.048604,outside_lock_window,1481 min
2026-08-06T00:59:04Z,825053,spreads,-1.5,home,0.022063,below_edge_rule,0.0221 < 0.03
2026-08-06T00:59:04Z,825053,spreads,1.5,away,-0.079715,outside_lock_window,1481 min
2026-08-06T00:59:04Z,825053,totals,9.0,home,0.086283,outside_lock_window,1481 min
2026-08-06T00:59:04Z,823106,h2h,,away,0.069194,day_cap,2026-08-05 at 3u
2026-08-06T00:59:04Z,825052,totals,8.5,home,0.052662,day_cap,2026-08-05 at 3u
2026-08-06T00:59:04Z,825052,h2h,,home,0.050327,day_cap,2026-08-05 at 3u
