event_id,game_pk,official_date,season,market,close_point,close_prob,close_books,outcome,model_prob_gbm,model_prob_glm,model_prob_ensemble
1da2758847fd17f1ccc778a260a18142,662262,2022-05-05,2022,totals,7.5,0.4782608695652174,11,0.0,0.4257228070547402,0.556532286149428,0.4911275466020841
1db1b4eb35b7eb4921a42f642c5e20a0,716399,2023-09-28,2023,totals,9.5,0.49675282503004003,16,0.0,0.265396330341642,0.4678383130282178,0.3666173216849299
1dbf670ea262ce542fca961f931de199,661756,2022-04-09,2022,totals,8.5,0.4879965080750763,14,0.0,0.4152128793755592,0.4023204114304713,0.4087666454030152
1dc3a7d82fd02cff5654d5727b1af4b5,718079,2023-05-21,2023,totals,9.0,0.5180774138664397,16,0.0,0.31295118090008517,0.34040143688458163,0.3266763088923334
1dd7030e208544da1db060bddc9a5ad0,717230,2023-07-28,2023,totals,8.5,0.5108342361863488,15,0.0,0.3608130528279011,0.3647571730456849,0.362785112936793
1ddea3a6a0ffe4eccbb45a523457f8c3,634386,2021-04-23,2021,totals,9.0,0.5264945652173914,6,1.0,,,
1ddfe2a979d8c426f09283b9743e757f,662348,2022-07-23,2022,totals,8.0,0.5,19,0.0,0.27527602159726583,0.5707169221399097,0.42299647186858774
1de349eb121d1ffb1a09ccbee6ad19dc,633399,2021-07-04,2021,totals,9.0,0.4782608695652174,11,0.0,,,
1deab10c1738fd3b21de8f5b373e74d3,718151,2023-05-16,2023,totals,8.5,0.4801762114537444,11,0.0,0.4409252385214454,0.45772376961241934,0.44932450406693236
1deb7c461a37354f3224f284ba2684fa,717051,2023-08-10,2023,totals,10.5,0.5,15,0.0,0.3591487245800504,0.39585536861102244,0.37750204659553643
1dedb27843cdfbc0c3ad7ef4679f7890,662579,2022-05-01,2022,totals,6.5,0.5217391304347826,15,1.0,0.6142926280842,0.60720160514614,0.61074711661517
1dfd05f400d41e87e4fb12015c7ee7e8,717873,2023-06-06,2023,totals,7.5,0.505375419282704,17,1.0,0.41568962179294994,0.48397827925586806,0.449833950524409
1dfe96c5975df05c37d606c0d76de362,747096,2024-07-20,2024,totals,8.5,0.4891657638136511,9,1.0,0.5261639501606309,0.48748533624649676,0.5068246432035638
1dfed4beb176025ae6ccdac4c5a689a2,661375,2022-07-14,2022,totals,7.5,0.5,18,0.0,0.5586592392429282,0.6496979036316214,0.6041785714372747
1e0128dd95457fcf584274d3281d0dc4,745549,2024-07-13,2024,totals,9.0,0.5108342361863488,11,1.0,0.46477500968647734,0.5157495233103891,0.49026226649843324
1e05922c328a55f8a560e39d9f7eb2d8,718684,2023-04-07,2023,totals,7.5,0.4956702459300312,17,0.0,0.4635610443506571,0.49212656669901594,0.4778438055248365
1e0d474779abd4d64d107761b2191753,745805,2024-06-15,2024,totals,8.5,0.5,12,0.0,0.5088989338695862,0.5092752971418871,0.5090871155057366
1e0faa2900249b79598917e1e583595f,634111,2021-05-15,2021,totals,9.0,0.4782608695652174,11,1.0,,,
1e14583aa2c5f7a388ccb860700fd0d7,745310,2024-07-27,2024,totals,8.0,0.4837133166894343,6,0.0,0.4488141230039397,0.47769685838825027,0.46325549069609495
1e1f8c731873f3816470ad6cf52d50ba,632293,2021-09-30,2021,totals,8.5,0.5177727088027778,12,0.0,,,
1e27806eb24531599028a8f40f46c7ba,632788,2021-08-26,2021,totals,9.5,0.4782608695652174,13,1.0,,,
1e43a34cd61679fda6c8a73f9cc7a758,661525,2022-05-09,2022,totals,7.5,0.5,12,1.0,0.6210986457473282,0.6273469453444639,0.6242227955458961
