game_pk,game_date,player_id,role,is_home,pitches,batters_faced,swings,whiffs,called_strikes,in_zone,batted_balls,barrels,xwoba_sum,xwoba_denom,woba_sum,woba_denom,launch_speed_sum,launch_speed_count,release_speed_sum,release_speed_count,spin_rate_sum,spin_rate_count,delta_run_exp_sum
823081,2026-03-26,693855,pitcher,0.0,21,5.0,10.0,1.0,4.0,12.0,5.0,0.0,2.807,5.0,5.2,5.0,618.0,7.0,1828.2,21.0,42753.0,21.0,2.921
823081,2026-03-26,694335,pitcher,1.0,16,4.0,10.0,1.0,1.0,10.0,4.0,0.0,1.5630000000000002,4.0,2.7,4.0,680.4,9.0,1462.0,16.0,35022.0,16.0,1.079
823163,2026-03-26,542888,pitcher,0.0,10,3.0,5.0,3.0,2.0,6.0,1.0,1.0,2.0,3.0,2.0,3.0,186.7,2.0,911.5,10.0,23803.0,10.0,0.5920000000000001
823163,2026-03-26,641401,pitcher,0.0,16,4.0,10.0,4.0,1.0,6.0,3.0,0.0,1.152,4.0,1.25,4.0,479.4,6.0,1412.8,16.0,34242.0,16.0,-0.249
823163,2026-03-26,642100,pitcher,1.0,20,6.0,12.0,4.0,4.0,11.0,5.0,1.0,2.943,6.0,3.05,6.0,504.3,6.0,1824.5,20.0,42220.0,20.0,0.8759999999999999
823163,2026-03-26,668984,pitcher,1.0,29,6.0,14.0,3.0,3.0,10.0,2.0,1.0,2.820023,6.0,2.3,6.0,865.2,11.0,2641.2,29.0,70310.0,29.0,0.178
823163,2026-03-26,669302,pitcher,1.0,86,21.0,42.0,12.0,17.0,43.0,14.0,2.0,4.482,21.0,6.65,21.0,2367.2,29.0,7618.3,86.0,162263.0,86.0,-0.1330000000000001
823163,2026-03-26,671922,pitcher,0.0,13,3.0,6.0,2.0,3.0,7.0,2.0,0.0,0.6869999999999999,3.0,0.0,3.0,315.2,4.0,1223.3,13.0,24122.0,13.0,-0.78
823163,2026-03-26,676440,pitcher,0.0,78,20.0,37.0,15.0,11.0,33.0,11.0,3.0,8.078088,20.0,8.65,20.0,1668.6,19.0,6857.3,78.0,177004.0,78.0,2.735
823163,2026-03-26,678606,pitcher,1.0,11,4.0,6.0,2.0,1.0,7.0,4.0,0.0,1.131,4.0,1.8,4.0,339.5,4.0,1058.5,11.0,24361.0,11.0,0.143
823163,2026-03-26,681867,pitcher,1.0,17,4.0,5.0,2.0,5.0,8.0,2.0,1.0,2.754544,4.0,2.7,4.0,286.7,3.0,1476.3,17.0,32045.0,17.0,0.954
823163,2026-03-26,681870,pitcher,0.0,16,4.0,7.0,4.0,4.0,6.0,1.0,0.0,0.028,4.0,0.0,4.0,217.3,3.0,1414.3,16.0,41583.0,16.0,-1.037
823325,2026-03-26,593974,pitcher,1.0,15,4.0,9.0,2.0,1.0,7.0,4.0,0.0,0.754,4.0,0.9,4.0,634.6,7.0,1387.8,15.0,32560.0,15.0,-0.4650000000000001
823325,2026-03-26,601713,pitcher,1.0,69,19.0,35.0,11.0,7.0,25.0,12.0,1.0,8.164632000000001,19.0,9.1,19.0,1816.7,22.0,6018.7,69.0,167794.0,68.0,2.166
823325,2026-03-26,623454,pitcher,0.0,36,8.0,16.0,4.0,1.0,8.0,6.0,1.0,5.265088,8.0,4.3,8.0,908.4,11.0,3231.4,36.0,77449.0,36.0,2.646
823325,2026-03-26,663947,pitcher,0.0,11,3.0,4.0,0.0,1.0,4.0,2.0,0.0,0.893544,3.0,0.7,3.0,372.4,4.0,970.7,11.0,25816.0,11.0,-0.404
823325,2026-03-26,669373,pitcher,0.0,74,22.0,35.0,11.0,14.0,39.0,16.0,1.0,4.683,22.0,3.95,22.0,1877.5,22.0,6874.4,74.0,163292.0,74.0,-2.789
823325,2026-03-26,676684,pitcher,0.0,7,3.0,5.0,2.0,1.0,5.0,2.0,0.0,0.5660000000000001,3.0,0.0,3.0,265.0,3.0,646.1,7.0,15852.0,7.0,-0.779
823325,2026-03-26,676760,pitcher,1.0,43,9.0,19.0,7.0,6.0,19.0,7.0,1.0,2.927,9.0,3.8,9.0,910.0,11.0,3794.2,43.0,96320.0,43.0,0.6229999999999998
823325,2026-03-26,688158,pitcher,1.0,19,5.0,7.0,3.0,3.0,5.0,3.0,0.0,1.892544,5.0,1.6,5.0,330.7,4.0,1746.6,19.0,44867.0,19.0,-0.0479999999999999
823325,2026-03-26,699134,pitcher,1.0,20,6.0,11.0,7.0,3.0,12.0,3.0,0.0,0.385,6.0,0.0,6.0,330.4,4.0,1884.1,20.0,43357.0,20.0,-1.559
823486,2026-03-26,543135,pitcher,0.0,80,22.0,44.0,14.0,11.0,33.0,15.0,1.0,5.858,22.0,9.75,22.0,2314.8,26.0,7148.0,80.0,150435.0,80.0,1.584
823486,2026-03-26,641302,pitcher,0.0,9,3.0,6.0,0.0,0.0,5.0,3.0,0.0,0.323,3.0,0.0,3.0,440.1,6.0,783.4,9.0,18930.0,9.0,-0.778
823486,2026-03-26,647315,pitcher,1.0,21,4.0,6.0,1.0,3.0,8.0,3.0,0.0,1.469544,4.0,0.7,4.0,282.7,3.0,1970.8,21.0,48308.0,21.0,-0.4589999999999999
823486,2026-03-26,650911,pitcher,1.0,87,21.0,45.0,13.0,14.0,45.0,11.0,2.0,3.232,21.0,3.05,21.0,2216.2,26.0,7840.6,87.0,182358.0,87.0,-3.495
823486,2026-03-26,656222,pitcher,0.0,28,5.0,12.0,4.0,6.0,16.0,3.0,0.0,1.297,5.0,0.9,5.0,686.0,8.0,2548.5,28.0,57539.0,28.0,-0.7010000000000001
823486,2026-03-26,661395,pitcher,1.0,12,3.0,8.0,4.0,1.0,3.0,2.0,0.0,0.43,3.0,0.9,3.0,330.1,4.0,1147.4,12.0,20260.0,12.0,0.0029999999999999
823486,2026-03-26,679775,pitcher,1.0,20,4.0,8.0,0.0,4.0,12.0,4.0,1.0,2.739,4.0,3.8,4.0,678.4,8.0,1713.6,20.0,41574.0,20.0,1.599
823486,2026-03-26,680742,pitcher,1.0,8,4.0,5.0,1.0,1.0,4.0,4.0,0.0,0.705,4.0,0.9,4.0,333.20000000000005,4.0,771.2,8.0,17859.0,8.0,-0.3989999999999999
